a. End User Information,,,,,,,b. Persona Information,,,,,,,,,,,,,,,,,,
1. First Name,2. Last Name,3. Age,4. Residence Address,5. Country of ID,6. Device Information,7. IP Address,8. Fraud Status (Ground Truth),9. Verification ID,10. Verification Status,11. Verification Created Date,12. Color Inconsistency Detection,13. Barcode Detection,14. Extraction Inconsistency Detection,15. Inquiry Comparison,16. Disallowed Type Detection,17. Compromised Detection,18. MRZ Detection,19. Expired Detection,20. Disallowed Country Detection,21. Entity Detection,22. Portrait Detection,23. Account Comparison,24. Selfie Comparison,25. Extracted Properties Detection,26. Tamper Detection
Mr.,Todd,75,"684 Elizabeth Flat
Wilkinsonmouth, AL 57568",United States,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/14.1i5148.0 Mobile/88Z154 Safari/533.2",55.125.136.75,FALSE,1894200,failed,5/10/2021 21:48:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,passed
Carlos,Gonzalez,84,"0646 Smith Passage Apt. 659
Castroland, AL 42781",United States,Android 4.1.1,97.249.219.250,FALSE,1597120,passed,2/26/2021 16:36:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Chad,Ferguson,75,"45540 James Brooks Apt. 638
Walkerport, ID 68580",United States,Android 2.3.1,45.31.254.41,FALSE,6373510,passed,5/10/2021 5:18:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jesse,Cruz,57,"9917 Carl Branch
Wilsonfort, WA 88359",United States,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,59.237.53.84,TRUE,6054044,failed,5/12/2021 14:16:00,passed,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,failed
Gregory,Rodriguez,48,"9101 Thomas Ways Suite 330
North Aaronmouth, DC 97841",Vietnam,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sv-SE) AppleWebKit/532.20.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.20.1",216.167.245.84,TRUE,5244715,failed,3/17/2021 5:08:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Kelly,Villarreal,39,"71692 White Neck Suite 556
Port Keithburgh, ID 84449",United States,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),187.2.222.187,Image Quality,1912445,passed,12/31/2020 16:12:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jose,Curtis,68,"3065 David Parks
Craigland, NY 18011",United States,Android 2.3.6,181.181.237.158,TRUE,4318085,failed,5/2/2021 3:31:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,failed
Trevor,Woods,49,"5644 Cooper Lodge Apt. 339
South Joann, CO 59768",United States,Android 4.0.1,100.156.232.14,TRUE,3244631,failed,1/9/2021 4:54:00,passed,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,failed,passed,not_applicable,not_applicable,passed,failed
Travis,Mitchell,79,"08485 Michelle Parkways Suite 850
Wigginshaven, AR 14116",United States,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,141.81.215.82,Image Quality,2358933,passed,4/24/2021 16:30:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
William,White,70,"066 Beck Ville Suite 071
Kaylafort, FL 38651",United States,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,179.192.145.194,FALSE,7309181,passed,2/7/2021 1:28:00,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Marcus,Baker,64,"71643 Mary Parkways Apt. 302
New Heatherfurt, ND 36763",United States,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; as-IN) AppleWebKit/533.48.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6533.48.7",157.248.22.249,Image Quality,8938782,failed,5/3/2021 12:27:00,passed,passed,passed,not_applicable,failed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Tara,Pope,20,"30184 Boyle Mills
Morrisonberg, PA 02366",United States,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 7_0) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/57.0.860.0 Safari/533.0",113.114.218.135,FALSE,8145374,failed,3/20/2021 7:30:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Thomas,Garcia,20,"690 Meghan Vista
Lake Kimberlymouth, NJ 72960",United States,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,175.166.62.82,Image Quality,2206580,passed,5/12/2021 14:25:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Danielle,Hart,21,"3884 Davis Center Apt. 056
Port Juliemouth, OH 76512",United States,iPad; CPU iPad OS 4_2_1 like Mac OS X,53.39.1.21,FALSE,8861743,passed,3/11/2021 0:35:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Terry,Gibson,37,"76612 Jones Villages
North Sarahchester, NY 97581",United States,Android 7.1,58.162.191.64,FALSE,4234781,passed,4/25/2021 5:26:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
James,Valenzuela,58,"593 Kevin Haven Apt. 636
East Jaimeport, ME 25570",United States,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,38.155.39.198,FALSE,6646598,passed,5/9/2021 5:55:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kevin,Moore,57,"85022 Heather Summit Suite 419
New Adamville, DE 04345",United States,Android 4.0.3,66.28.218.74,FALSE,6178699,failed,5/22/2021 9:05:00,not_applicable,failed,not_applicable,not_applicable,failed,passed,not_applicable,not_applicable,passed,failed,passed,not_applicable,not_applicable,passed,passed
Jane,Hendricks,53,"5878 Johnson Street Apt. 116
Carrollport, SD 85694",United States,Android 4.0.4,139.50.86.239,FALSE,1952120,passed,3/23/2021 15:08:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jason,Stevens,44,"442 Stuart Plain
Lauriefort, GA 74255",United States,Mozilla/5.0 (Windows NT 4.0; he-IL; rv:1.9.0.20) Gecko/2014-06-21 21:34:59 Firefox/3.8,78.231.167.126,Image Quality,1745571,passed,5/6/2021 0:47:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Gary,Crane,41,"17759 Michael Plain Suite 872
Terrifort, CO 59186",Israel,Android 5.1,91.253.199.33,FALSE,8780579,failed,5/8/2021 15:58:00,passed,failed,not_applicable,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Larry,Johnson,68,"054 Watts Cliffs Apt. 062
Brianview, SD 41459",United States,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/18.0.880.0 Safari/534.0",172.217.18.98,FALSE,7566078,failed,5/4/2021 22:13:00,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kenneth,Acosta,78,"248 Eric Cliffs Suite 890
South Joseph, WA 40667",United States,Android 1.5,49.204.46.77,Image Quality,7757957,passed,4/5/2021 5:15:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
