1. First Name,2. Last Name,3. Age,4. Residence Address,state,zip_code,city,5. Country of ID,6. Device Information,browser,device,device_os,7. IP Address,8. Fraud Status (Ground Truth),9. Verification ID,10. Verification Status,11. Verification Created Date,date,hour,weekday,DayOfMonth,MonthName,Year,day_pary,12. Color Inconsistency Detection,13. Barcode Detection,14. Extraction Inconsistency Detection,15. Inquiry Comparison,16. Disallowed Type Detection,17. Compromised Detection,18. MRZ Detection,19. Expired Detection,20. Disallowed Country Detection,21. Entity Detection,22. Portrait Detection,23. Account Comparison,24. Selfie Comparison,25. Extracted Properties Detection,26. Tamper Detection
Mr.,Todd,75,"684 Elizabeth Flat
Wilkinsonmouth, AL 57568",AL,57568,Wilkinsonmouth,United States,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/14.1i5148.0 Mobile/88Z154 Safari/533.2",Safari,mobile,Mac,55.125.136.75,FALSE,1894200,failed,2021-05-10 21:48:00,2021-05-10,21,Mon,10,May,2021,late evening,passed,failed,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,passed
Carlos,Gonzalez,84,"0646 Smith Passage Apt. 659
Castroland, AL 42781",AL,42781,Castroland,United States,Android 4.1.1,Other,mobile,Android,97.249.219.250,FALSE,1597120,passed,2021-02-26 16:36:00,2021-02-26,16,Fri,26,Feb,2021,afternoon,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Chad,Ferguson,75,"45540 James Brooks Apt. 638
Walkerport, ID 68580",ID,68580,Walkerport,United States,Android 2.3.1,Other,mobile,Android,45.31.254.41,FALSE,6373510,passed,2021-05-10 05:18:00,2021-05-10,5,Mon,10,May,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jesse,Cruz,57,"9917 Carl Branch
Wilsonfort, WA 88359",WA,88359,Wilsonfort,United States,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,Other,mobile,Mac,59.237.53.84,TRUE,6054044,failed,2021-05-12 14:16:00,2021-05-12,14,Wed,12,May,2021,afternoon,passed,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,failed
Gregory,Rodriguez,48,"9101 Thomas Ways Suite 330
North Aaronmouth, DC 97841",DC,97841,North Aaronmouth,Vietnam,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; sv-SE) AppleWebKit/532.20.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B112 Safari/6532.20.1",Safari,mobile,Mac,216.167.245.84,TRUE,5244715,failed,2021-03-17 05:08:00,2021-03-17,5,Wed,17,Mar,2021,night,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Kelly,Villarreal,39,"71692 White Neck Suite 556
Port Keithburgh, ID 84449",ID,84449,Port Keithburgh,United States,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.1),Internet Explorer,desktop,Windows,187.2.222.187,Image Quality,1912445,passed,2020-12-31 16:12:00,2020-12-31,16,Thu,31,Dec,2020,afternoon,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jose,Curtis,68,"3065 David Parks
Craigland, NY 18011",NY,18011,Craigland,United States,Android 2.3.6,Other,mobile,Android,181.181.237.158,TRUE,4318085,failed,2021-05-02 03:31:00,2021-05-02,3,Sun,2,May,2021,night,passed,failed,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,passed,passed,not_applicable,not_applicable,passed,failed
Trevor,Woods,49,"5644 Cooper Lodge Apt. 339
South Joann, CO 59768",CO,59768,South Joann,United States,Android 4.0.1,Other,mobile,Android,100.156.232.14,TRUE,3244631,failed,2021-01-09 04:54:00,2021-01-09,4,Sat,9,Jan,2021,night,passed,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,failed,passed,not_applicable,not_applicable,passed,failed
Travis,Mitchell,79,"08485 Michelle Parkways Suite 850
Wigginshaven, AR 14116",AR,14116,Wigginshaven,United States,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,Other,mobile,Mac,141.81.215.82,Image Quality,2358933,passed,2021-04-24 16:30:00,2021-04-24,16,Sat,24,Apr,2021,afternoon,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
William,White,70,"066 Beck Ville Suite 071
Kaylafort, FL 38651",FL,38651,Kaylafort,United States,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,Other,mobile,Mac,179.192.145.194,FALSE,7309181,passed,2021-02-07 01:28:00,2021-02-07,1,Sun,7,Feb,2021,night,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
